SPECID,CATAID_1_x,Z_x_x,BPT_x,WHAN_x,mass_stellar_percentile50_x,CATAID_x_x,HB_REDCHI_EMB_x,HB_REDCHI_EMABS_x,HB_FITFAIL_x_x,HB_MODSEL_EM_LINE_x_x,HB_MODSEL_EMB_EM_x,HB_MODSEL_NABS_N_x,HB_CEN_x_x,SIG_HB_N_x,SIG_HB_N_ERR_x,HB_N_FLUX_x,HB_N_FLUX_ERR_x,SIG_HB_B_x,SIG_HB_B_ERR_x,HB_B_FLUX_x,HB_B_FLUX_ERR_x,HA_REDCHI_EMB_x,HA_REDCHI_EMABS_x,HA_FITFAIL_x_x,HA_MODSEL_EM_LINE_x_x,HA_MODSEL_EMB_EM_x,HA_MODSEL_NABS_N_x,HA_CEN_x_x,SIG_HA_N_x,SIG_HA_N_ERR_x,HA_N_FLUX_x,HA_N_FLUX_ERR_x,SIG_HA_B_x,SIG_HA_B_ERR_x,HA_B_FLUX_x,HA_B_FLUX_ERR_x,CATAID_y_x,Z_y_x,HB_REDCHI_ABS_x,HB_REDCHI_EM_x,HB_FITFAIL_y_x,HB_MODSEL_EM_LINE_y_x,HB_MODSEL_ABS_LINE_x,HB_MODSEL_EM_ABS_x,HB_CEN_y_x,SIG_HB_x,SIG_HB_ERR_x,HA_REDCHI_ABS_x,HA_REDCHI_EM_x,HA_FITFAIL_y_x,HA_MODSEL_EM_LINE_y_x,HA_MODSEL_ABS_LINE_x,HA_MODSEL_EM_ABS_x,HA_CEN_y_x,SIG_HA_x,SIG_HA_ERR_x,VEL_B_HB,VEL_B_HB_ERR,BLR_HB,CATAID_1_y,Z_x_y,BPT_y,WHAN_y,mass_stellar_percentile50_y,CATAID_x_y,HB_REDCHI_EMB_y,HB_REDCHI_EMABS_y,HB_FITFAIL_x_y,HB_MODSEL_EM_LINE_x_y,HB_MODSEL_EMB_EM_y,HB_MODSEL_NABS_N_y,HB_CEN_x_y,SIG_HB_N_y,SIG_HB_N_ERR_y,HB_N_FLUX_y,HB_N_FLUX_ERR_y,SIG_HB_B_y,SIG_HB_B_ERR_y,HB_B_FLUX_y,HB_B_FLUX_ERR_y,HA_REDCHI_EMB_y,HA_REDCHI_EMABS_y,HA_FITFAIL_x_y,HA_MODSEL_EM_LINE_x_y,HA_MODSEL_EMB_EM_y,HA_MODSEL_NABS_N_y,HA_CEN_x_y,SIG_HA_N_y,SIG_HA_N_ERR_y,HA_N_FLUX_y,HA_N_FLUX_ERR_y,SIG_HA_B_y,SIG_HA_B_ERR_y,HA_B_FLUX_y,HA_B_FLUX_ERR_y,CATAID_y_y,Z_y_y,HB_REDCHI_ABS_y,HB_REDCHI_EM_y,HB_FITFAIL_y_y,HB_MODSEL_EM_LINE_y_y,HB_MODSEL_ABS_LINE_y,HB_MODSEL_EM_ABS_y,HB_CEN_y_y,SIG_HB_y,SIG_HB_ERR_y,HA_REDCHI_ABS_y,HA_REDCHI_EM_y,HA_FITFAIL_y_y,HA_MODSEL_EM_LINE_y_y,HA_MODSEL_ABS_LINE_y,HA_MODSEL_EM_ABS_y,HA_CEN_y_y,SIG_HA_y,SIG_HA_ERR_y,VEL_B_HA,VEL_B_HA_ERR,BLR_HA
1034794413781444608,492762,0.093234986,UNCXY,sAGN,10.88,492762,3.6026523,13.589684,0.0,201,201,0,5421.166516362106,8.935291,-0.0,1043.9971,59.677284,28.946468,0.45359343,5883.253,152.08485,1.5413079,18.211254,0.0,201,201,0,7174.682333178914,7.1757445,0.18229313,3622.9316,143.87276,31.89552,0.3822814,15041.947,438.41458,492762,0.093234986,45.32076,17.104176,0.0,201,0,201,5421.166516362106,8.935291,-0.0,310.01462,17.935326,0.0,201,0,201,7174.682333178914,7.0887394,0.1328604,3.2043235350723043,1.3993947111311307,True,492762,0.093234986,UNCXY,sAGN,10.88,492762,3.6026523,13.589684,0.0,201,201,0,5421.166516362106,8.935291,-0.0,1043.9971,59.677284,28.946468,0.45359343,5883.253,152.08485,1.5413079,18.211254,0.0,201,201,0,7174.682333178914,7.1757445,0.18229313,3622.9316,143.87276,31.89552,0.3822814,15041.947,438.41458,492762,0.093234986,45.32076,17.104176,0.0,201,0,201,5421.166516362106,8.935291,-0.0,310.01462,17.935326,0.0,201,0,201,7174.682333178914,7.0887394,0.1328604,3.124747712901222,1.2034011937773512,True
317525791778826240,53744,0.13478902,UNCXY,SFG,10.39,53744,1.4498295,5.4260488,0.0,201,201,0,5627.2259132021845,3.760481,0.32077363,211.85117,23.654774,34.747116,0.8940492,2301.8708,80.01841,1.7914364,19.669172,0.0,201,201,0,7447.393143598016,6.011727,0.13610794,1338.2615,44.326565,41.7911,0.8522567,5853.4565,265.33734,53744,0.13478902,29.979324,6.154282,0.0,201,0,201,5627.2259132021845,9.274923,-0.0,201.24815,156.16548,0.0,201,0,201,7447.393143598016,2.9447362,0.1835829,3.267445116150534,1.6778877709461437,True,53744,0.13478902,UNCXY,SFG,10.39,53744,1.4498295,5.4260488,0.0,201,201,0,5627.2259132021845,3.760481,0.32077363,211.85117,23.654774,34.747116,0.8940492,2301.8708,80.01841,1.7914364,19.669172,0.0,201,201,0,7447.393143598016,6.011727,0.13610794,1338.2615,44.326565,41.7911,0.8522567,5853.4565,265.33734,53744,0.13478902,29.979324,6.154282,0.0,201,0,201,5627.2259132021845,9.274923,-0.0,201.24815,156.16548,0.0,201,0,201,7447.393143598016,2.9447362,0.1835829,3.2259002248537985,1.5353868464358893,True
318699525491419136,30518,0.22300434,UNCXY,sAGN,10.66,30518,1.2369167,2.9156437,0.0,201,201,0,6064.670703495271,9.99593,-0.0,152.69687,22.55152,47.558193,2.1484272,1476.6427,89.965645,1.2687134,7.4352074,0.0,201,201,0,8026.33263921843,8.081858,0.93969476,330.7244,53.841114,42.486797,0.9722226,3888.185,165.60464,30518,0.22300434,6.0382357,3.382763,0.0,201,0,201,6064.670703495271,9.99593,-0.0,58.70487,7.3225527,0.0,201,0,201,8026.33263921843,6.805308,0.37138247,3.371238823192865,2.026134120283867,True,30518,0.22300434,UNCXY,sAGN,10.66,30518,1.2369167,2.9156437,0.0,201,201,0,6064.670703495271,9.99593,-0.0,152.69687,22.55152,47.558193,2.1484272,1476.6427,89.965645,1.2687134,7.4352074,0.0,201,201,0,8026.33263921843,8.081858,0.93969476,330.7244,53.841114,42.486797,0.9722226,3888.185,165.60464,30518,0.22300434,6.0382357,3.382763,0.0,201,0,201,6064.670703495271,9.99593,-0.0,58.70487,7.3225527,0.0,201,0,201,8026.33263921843,6.805308,0.37138247,3.2005575401556063,1.5600692608164746,True
319914760449583104,7618,0.22874618,UNCXY,sAGN,10.59,7618,1.3582518,1.9760586,0.0,201,201,0,6093.143475682382,2.3795552,0.19217008,81.18384,8.510061,30.47479,1.9860593,303.50198,28.61067,1.6228863,5.060211,0.0,201,201,0,8064.015137066621,2.7636964,0.08482337,297.57016,13.289721,27.010128,0.5582137,1065.5078,35.114803,7618,0.22874618,9.072477,2.026287,0.0,201,0,201,6093.143475682382,4.9433837,0.2483668,53.091614,4.9835415,0.0,201,0,201,8064.015137066621,4.387919,0.08415088,3.1759200199228235,1.989971509890418,True,7618,0.22874618,UNCXY,sAGN,10.59,7618,1.3582518,1.9760586,0.0,201,201,0,6093.143475682382,2.3795552,0.19217008,81.18384,8.510061,30.47479,1.9860593,303.50198,28.61067,1.6228863,5.060211,0.0,201,201,0,8064.015137066621,2.7636964,0.08482337,297.57016,13.289721,27.010128,0.5582137,1065.5078,35.114803,7618,0.22874618,9.072477,2.026287,0.0,201,0,201,6093.143475682382,4.9433837,0.2483668,53.091614,4.9835415,0.0,201,0,201,8064.015137066621,4.387919,0.08415088,3.001796010903803,1.3170698595930108,True
320958471644145664,692601,0.25979796,AGNXY,sAGN,10.46,692601,9.9056,38.614193,0.0,201,201,0,6247.124017421664,3.0800297,0.13556752,250.0601,14.885409,42.920147,0.37726837,4138.821,50.404377,1.7046248,103.02705,0.0,201,201,0,8267.801807174568,4.732475,0.10924053,1238.4523,40.179237,51.964375,0.29674968,13738.114,133.07181,692601,0.25979796,157.9365,42.095146,0.0,201,0,201,6247.124017421664,10.296654,-0.0,405.72653,330.31955,0.0,201,0,201,8267.801807174568,3.2691298,0.32710254,3.3138017760557905,1.2577909710012023,True,692601,0.25979796,AGNXY,sAGN,10.46,692601,9.9056,38.614193,0.0,201,201,0,6247.124017421664,3.0800297,0.13556752,250.0601,14.885409,42.920147,0.37726837,4138.821,50.404377,1.7046248,103.02705,0.0,201,201,0,8267.801807174568,4.732475,0.10924053,1238.4523,40.179237,51.964375,0.29674968,13738.114,133.07181,692601,0.25979796,157.9365,42.095146,0.0,201,0,201,6247.124017421664,10.296654,-0.0,405.72653,330.31955,0.0,201,0,201,8267.801807174568,3.2691298,0.32710254,3.2751363537913774,1.0318209049073137,True
320971116027865088,22727,0.19701257,SFGXY,sAGN,10.92,22727,1.4424404,1.9486188,0.0,201,201,0,5935.781984212118,7.20549,0.8550138,292.93576,51.193348,20.181038,1.1676825,941.907,118.876755,1.8256913,3.0567148,0.0,201,201,0,7855.753924398315,10.183089,0.27873018,1648.9434,61.237106,30.557224,0.77291983,2002.7783,108.36795,22727,0.19701257,14.051864,2.2240782,0.0,201,0,201,5935.781984212118,9.783492,-0.0,115.46397,3.7379026,0.0,201,0,201,7855.753924398315,9.671441,0.1947795,3.008286261759572,1.770667533106052,True,22727,0.19701257,SFGXY,sAGN,10.92,22727,1.4424404,1.9486188,0.0,201,201,0,5935.781984212118,7.20549,0.8550138,292.93576,51.193348,20.181038,1.1676825,941.907,118.876755,1.8256913,3.0567148,0.0,201,201,0,7855.753924398315,10.183089,0.27873018,1648.9434,61.237106,30.557224,0.77291983,2002.7783,108.36795,22727,0.19701257,14.051864,2.2240782,0.0,201,0,201,5935.781984212118,9.783492,-0.0,115.46397,3.7379026,0.0,201,0,201,7855.753924398315,9.671441,0.1947795,3.0667467296864865,1.4697672815675609,True
323178112302999552,561225,0.25329715,UNCXY,sAGN,10.75,561225,1.569027,2.1041684,0.0,201,201,0,6214.887584671353,2.355447,0.5738558,20.305595,6.5114913,39.257244,2.1950865,404.3872,29.780369,1.4776113,2.775673,0.0,201,201,0,8225.138265326095,3.178878,0.31529135,80.26018,10.3814,32.77706,0.7947899,1127.1494,41.94799,561225,0.25329715,7.5596046,2.3111231,0.0,201,0,201,6214.887584671353,10.243521,-0.0,34.38518,2.7334037,0.0,201,0,201,8225.138265326095,4.810165,0.22947598,3.277307232725158,2.0248390642357648,True,561225,0.25329715,UNCXY,sAGN,10.75,561225,1.569027,2.1041684,0.0,201,201,0,6214.887584671353,2.355447,0.5738558,20.305595,6.5114913,39.257244,2.1950865,404.3872,29.780369,1.4776113,2.775673,0.0,201,201,0,8225.138265326095,3.178878,0.31529135,80.26018,10.3814,32.77706,0.7947899,1127.1494,41.94799,561225,0.25329715,7.5596046,2.3111231,0.0,201,0,201,6214.887584671353,10.243521,-0.0,34.38518,2.7334037,0.0,201,0,201,8225.138265326095,4.810165,0.22947598,3.0772474918362596,1.46192983527703,True
323243533244852224,751044,0.29325515,AGNXY,sAGN,10.75,751044,1.8174736,7.6201596,0.0,201,201,0,6413.032497452571,2.10266,0.33441496,22.767824,5.082551,55.699673,1.3596759,869.5188,27.329723,1.6213193,9.784187,0.0,201,201,200,8487.374594140187,4.8633876,0.31530488,152.58945,13.228274,57.638447,1.2232409,2504.8582,72.068375,751044,0.29325515,20.71258,7.5604715,0.0,201,0,201,6413.032497452571,10.570107,-0.0,51.36332,10.036207,0.0,201,0,201,8487.374594140187,5.0779953,0.22058474,3.415609907795712,1.8031926620869347,True,751044,0.29325515,AGNXY,sAGN,10.75,751044,1.8174736,7.6201596,0.0,201,201,0,6413.032497452571,2.10266,0.33441496,22.767824,5.082551,55.699673,1.3596759,869.5188,27.329723,1.6213193,9.784187,0.0,201,201,200,8487.374594140187,4.8633876,0.31530488,152.58945,13.228274,57.638447,1.2232409,2504.8582,72.068375,751044,0.29325515,20.71258,7.5604715,0.0,201,0,201,6413.032497452571,10.570107,-0.0,51.36332,10.036207,0.0,201,0,201,8487.374594140187,5.0779953,0.22058474,3.3087596032904725,1.6355593261606187,True
324318855230941184,537289,0.25738645,UNCXY,sAGN,10.94,537289,1.2117143,1.9547498,0.0,201,201,0,6235.165696781846,3.5701494,0.41008264,109.73833,16.437958,30.077848,1.5679035,738.1007,53.971584,1.3386958,2.9888763,0.0,201,201,0,8251.975480576773,4.389986,0.21139728,488.79987,30.979677,31.647163,0.8734291,2180.7578,115.22621,537289,0.25738645,11.530187,1.9394385,0.0,201,0,201,6235.165696781846,10.276943,-0.0,47.51922,2.9530869,0.0,201,0,201,8251.975480576773,4.9277825,0.14605245,3.160219464047506,1.877292033356545,True,537289,0.25738645,UNCXY,sAGN,10.94,537289,1.2117143,1.9547498,0.0,201,201,0,6235.165696781846,3.5701494,0.41008264,109.73833,16.437958,30.077848,1.5679035,738.1007,53.971584,1.3386958,2.9888763,0.0,201,201,0,8251.975480576773,4.389986,0.21139728,488.79987,30.979677,31.647163,0.8734291,2180.7578,115.22621,537289,0.25738645,11.530187,1.9394385,0.0,201,0,201,6235.165696781846,10.276943,-0.0,47.51922,2.9530869,0.0,201,0,201,8251.975480576773,4.9277825,0.14605245,3.0605975579670797,1.5014904312584372,True
345696929033775104,594304,0.103977285,UNCXY,sAGN,10.59,594304,1.4526541,5.7731633,0.0,201,201,0,5474.435777620177,9.023091,-0.0,251.87825,36.098537,44.579296,1.2492015,3568.8254,137.74464,1.6449745,18.85888,0.0,201,201,0,7245.181925194071,2.7204297,0.30620524,295.51056,43.831917,35.62682,0.30108285,10820.591,149.5302,594304,0.103977285,14.480492,6.6387725,0.0,201,0,201,5474.435777620177,9.023091,-0.0,134.14844,18.749182,0.0,201,0,201,7245.181925194071,5.3954597,0.2055376,3.3876145434261367,1.8351138346878066,True,594304,0.103977285,UNCXY,sAGN,10.59,594304,1.4526541,5.7731633,0.0,201,201,0,5474.435777620177,9.023091,-0.0,251.87825,36.098537,44.579296,1.2492015,3568.8254,137.74464,1.6449745,18.85888,0.0,201,201,0,7245.181925194071,2.7204297,0.30620524,295.51056,43.831917,35.62682,0.30108285,10820.591,149.5302,594304,0.103977285,14.480492,6.6387725,0.0,201,0,201,5474.435777620177,9.023091,-0.0,134.14844,18.749182,0.0,201,0,201,7245.181925194071,5.3954597,0.2055376,3.168548467493173,1.0954574262695111,True
346920960336619520,107713,0.2963834,AGNXY,sAGN,10.97,107713,1.5077317,3.0076485,0.0,201,201,0,6428.545087954553,1.003665,-0.0,7.293036,3.8416586,39.116158,1.3955646,425.94724,19.95885,1.0361865,3.0178907,0.0,201,201,0,8507.904845089037,4.0136914,0.6331561,63.44563,13.8247595,39.39647,0.94701546,1375.1549,55.01694,107713,0.2963834,9.707936,3.4336627,0.0,201,0,201,6428.545087954553,10.595675,-0.0,28.795742,2.972165,0.0,201,0,201,8507.904845089037,7.178469,0.5201807,3.2610642003460004,1.8134579532296613,True,107713,0.2963834,AGNXY,sAGN,10.97,107713,1.5077317,3.0076485,0.0,201,201,0,6428.545087954553,1.003665,-0.0,7.293036,3.8416586,39.116158,1.3955646,425.94724,19.95885,1.0361865,3.0178907,0.0,201,201,0,8507.904845089037,4.0136914,0.6331561,63.44563,13.8247595,39.39647,0.94701546,1375.1549,55.01694,107713,0.2963834,9.707936,3.4336627,0.0,201,0,201,6428.545087954553,10.595675,-0.0,28.795742,2.972165,0.0,201,0,201,8507.904845089037,7.178469,0.5201807,3.142455388889621,1.52335514785334,True
346927282528479232,619960,0.08045285,SFGXY,SFG,10.31,619960,2.5577142,3.798077,0.0,201,201,0,5357.782085715991,5.1733103,0.1867118,926.7202,44.132393,20.508274,0.78524184,1531.8867,103.471016,2.9722114,10.113316,0.0,201,201,200,7090.795746522199,6.683551,0.10667897,3974.991,86.44331,24.666128,0.37126037,5054.12,173.27257,619960,0.08045285,43.75316,3.7681708,0.0,201,0,201,5357.782085715991,8.83082,-0.0,220.81297,10.25934,0.0,201,0,201,7090.795746522199,7.258565,0.07022826,3.0597647683118208,1.6428390891648148,True,619960,0.08045285,SFGXY,SFG,10.31,619960,2.5577142,3.798077,0.0,201,201,0,5357.782085715991,5.1733103,0.1867118,926.7202,44.132393,20.508274,0.78524184,1531.8867,103.471016,2.9722114,10.113316,0.0,201,201,200,7090.795746522199,6.683551,0.10667897,3974.991,86.44331,24.666128,0.37126037,5054.12,173.27257,619960,0.08045285,43.75316,3.7681708,0.0,201,0,201,5357.782085715991,8.83082,-0.0,220.81297,10.25934,0.0,201,0,201,7090.795746522199,7.258565,0.07022826,3.018226708271308,1.1958043205719413,True
372819143939876864,185507,0.15037559,UNCXY,UNC,11.03,185507,4.3498063,4.50219,0.0,201,201,0,5704.517109575027,3.2732887,0.30261755,403.29822,46.98003,14.628923,0.7061572,1280.7697,129.07085,2.5159378,7.881663,0.0,201,201,0,7549.684740702215,3.9196281,0.09120062,2391.1597,75.069405,21.589445,0.2972905,6019.3184,164.15497,185507,0.15037559,14.933522,4.5082912,0.0,201,0,201,5704.517109575027,6.5033307,0.23740117,121.12077,8.6191225,0.0,201,0,201,7549.684740702215,5.617481,0.063085765,2.885814169865621,1.56950320742974,True,185507,0.15037559,UNCXY,UNC,11.03,185507,4.3498063,4.50219,0.0,201,201,0,5704.517109575027,3.2732887,0.30261755,403.29822,46.98003,14.628923,0.7061572,1280.7697,129.07085,2.5159378,7.881663,0.0,201,201,0,7549.684740702215,3.9196281,0.09120062,2391.1597,75.069405,21.589445,0.2972905,6019.3184,164.15497,185507,0.15037559,14.933522,4.5082912,0.0,201,0,201,5704.517109575027,6.5033307,0.23740117,121.12077,8.6191225,0.0,201,0,201,7549.684740702215,5.617481,0.063085765,2.9331333642306263,1.0720729175905126,True
372842508561967104,144673,0.08336702,AGNXY,sAGN,10.27,144673,2.0842102,5.926351,0.0,201,201,0,5372.23295492219,2.877856,0.25107667,268.08884,30.858065,25.842083,0.53906775,3014.3804,91.599815,1.2435876,12.501485,0.0,201,201,0,7109.920854684781,3.7129934,0.20304869,906.79663,64.36112,27.935642,0.21718706,11949.01,198.64107,144673,0.08336702,43.109802,6.679159,0.0,201,0,201,5372.23295492219,8.854638,-0.0,210.01791,12.312068,0.0,201,0,201,7109.920854684781,5.277489,0.113326475,3.1589933833317536,1.478309217028964,True,144673,0.08336702,AGNXY,sAGN,10.27,144673,2.0842102,5.926351,0.0,201,201,0,5372.23295492219,2.877856,0.25107667,268.08884,30.858065,25.842083,0.53906775,3014.3804,91.599815,1.2435876,12.501485,0.0,201,201,0,7109.920854684781,3.7129934,0.20304869,906.79663,64.36112,27.935642,0.21718706,11949.01,198.64107,144673,0.08336702,43.109802,6.679159,0.0,201,0,201,5372.23295492219,8.854638,-0.0,210.01791,12.312068,0.0,201,0,201,7109.920854684781,5.277489,0.113326475,3.0711145930990273,0.9617898830279241,True
4304504827582873600,217012,0.18190922,SFGX,SFG,10.25,217012,9.211693,9.290804,0.0,200,110,0,5860.887001296484,0.91503865,-0.0,0.0,-0.0,38.773823,7.843512,55.339268,14.136258,33.3741,49.305298,0.0,201,201,0,7756.633613456617,9.672538,0.15888979,889.9303,16.93387,60.539555,1.4167699,1149.8258,34.776917,217012,0.18190922,9.376718,9.190203,0.0,200,1,200,5860.887001296484,9.6600485,-0.0,192.87904,48.868996,0.0,201,0,201,7756.633613456617,10.681552,0.24634878,3.2973959781686064,2.6033679200472957,True,217012,0.18190922,SFGX,SFG,10.25,217012,9.211693,9.290804,0.0,200,110,0,5860.887001296484,0.91503865,-0.0,0.0,-0.0,38.773823,7.843512,55.339268,14.136258,33.3741,49.305298,0.0,201,201,0,7756.633613456617,9.672538,0.15888979,889.9303,16.93387,60.539555,1.4167699,1149.8258,34.776917,217012,0.18190922,9.376718,9.190203,0.0,200,1,200,5860.887001296484,9.6600485,-0.0,192.87904,48.868996,0.0,201,0,201,7756.633613456617,10.681552,0.24634878,3.3691866493305547,1.7384467464805493,True
528174356874946560,376679,0.10689813,AGNXY,sAGN,11.06,376679,3.4399002,5.9202185,0.0,201,201,0,5488.919734429964,1.857404,0.088702664,558.3067,36.27327,26.776766,0.9088615,2653.2302,124.35715,0.95957345,16.714,0.0,201,201,0,7264.350823386751,2.4411328,0.04162057,2826.2488,70.82053,27.266815,0.29674163,9084.776,174.35022,376679,0.10689813,34.056747,5.912174,0.0,201,0,201,5488.919734429964,9.046964,-0.0,151.41643,16.460772,0.0,201,0,201,7264.350823386751,2.9797564,0.036553264,3.165091946216772,1.6958315296737556,True,376679,0.10689813,AGNXY,sAGN,11.06,376679,3.4399002,5.9202185,0.0,201,201,0,5488.919734429964,1.857404,0.088702664,558.3067,36.27327,26.776766,0.9088615,2653.2302,124.35715,0.95957345,16.714,0.0,201,201,0,7264.350823386751,2.4411328,0.04162057,2826.2488,70.82053,27.266815,0.29674163,9084.776,174.35022,376679,0.10689813,34.056747,5.912174,0.0,201,0,201,5488.919734429964,9.046964,-0.0,151.41643,16.460772,0.0,201,0,201,7264.350823386751,2.9797564,0.036553264,3.051258304710474,1.088002371095488,True
528184252479596544,719471,0.28214732,UNCXY,sAGN,10.6,719471,1.6724461,12.688373,0.0,201,201,0,6357.950754506495,10.479321,-0.0,218.68033,13.151371,47.790985,0.82182705,1798.31,44.359314,1.4360814,23.72609,0.0,201,201,0,8414.47626002646,11.146048,0.43500847,891.55707,42.10154,64.60436,1.2536706,3978.2412,116.227036,719471,0.28214732,31.8413,14.454943,0.0,201,0,201,6357.950754506495,10.479321,-0.0,155.00294,23.413744,0.0,201,0,201,8414.47626002646,8.434233,0.24102621,3.352849524838027,1.5882839748959556,True,719471,0.28214732,UNCXY,sAGN,10.6,719471,1.6724461,12.688373,0.0,201,201,0,6357.950754506495,10.479321,-0.0,218.68033,13.151371,47.790985,0.82182705,1798.31,44.359314,1.4360814,23.72609,0.0,201,201,0,8414.47626002646,11.146048,0.43500847,891.55707,42.10154,64.60436,1.2536706,3978.2412,116.227036,719471,0.28214732,31.8413,14.454943,0.0,201,0,201,6357.950754506495,10.479321,-0.0,155.00294,23.413744,0.0,201,0,201,8414.47626002646,8.434233,0.24102621,3.3620554419711084,1.6499770547326724,True
529278266817669120,600408,0.19631727,AGNXY,sAGN,10.92,600408,2.739447,4.9629197,0.0,201,201,0,5932.334043707728,2.218632,0.20560248,135.51051,17.007017,37.885197,1.263611,1476.8057,67.15011,1.9559264,15.984638,0.0,201,201,0,7851.190722410691,2.6678803,0.076088645,635.57574,26.931944,38.71199,0.38822073,4841.5723,78.25109,600408,0.19631727,35.036087,4.9629145,0.0,201,0,201,5932.334043707728,9.777809,-0.0,129.98904,15.741218,0.0,201,0,201,7851.190722410691,3.035951,0.06711762,3.2820646550896058,1.8052085030761895,True,600408,0.19631727,AGNXY,sAGN,10.92,600408,2.739447,4.9629197,0.0,201,201,0,5932.334043707728,2.218632,0.20560248,135.51051,17.007017,37.885197,1.263611,1476.8057,67.15011,1.9559264,15.984638,0.0,201,201,0,7851.190722410691,2.6678803,0.076088645,635.57574,26.931944,38.71199,0.38822073,4841.5723,78.25109,600408,0.19631727,35.036087,4.9629145,0.0,201,0,201,5932.334043707728,9.777809,-0.0,129.98904,15.741218,0.0,201,0,201,7851.190722410691,3.035951,0.06711762,3.1697306724021126,1.1709638973803025,True
