SPECID,CATAID_1,BPT,WHAN,bayes.agn.fracAGN,bayes.agn.fracAGN_err,bayes.sfh.age,bayes.sfh.age_err,bayes.sfh.age_main,bayes.sfh.age_main_err,bayes.stellar.age_m_star,bayes.stellar.age_m_star_err,bayes.dust.mass,bayes.dust.mass_err,bayes.sfh.sfr,bayes.sfh.sfr_err,bayes.sfh.sfr100Myrs,bayes.sfh.sfr100Myrs_err,bayes.stellar.m_gas,bayes.stellar.m_gas_err,bayes.stellar.m_star,bayes.stellar.m_star_err,best.chi_square,best.reduced_chi_square,best.agn.EBV,best.agn.beta,best.agn.delta,best.agn.disk_type,best.agn.emissivity,best.agn.fracAGN,best.agn.gamma,best.agn.law,best.agn.opening_angle,best.agn.psy,best.agn.r_ratio,best.agn.tau,best.agn.temperature,best.attenuation.B_B90,best.attenuation.E_BV_factor,best.attenuation.E_BV_lines,best.attenuation.E_BVs,best.attenuation.FUV,best.attenuation.V_B90,best.attenuation.powerlaw_slope,best.attenuation.uv_bump_amplitude,best.attenuation.uv_bump_wavelength,best.attenuation.uv_bump_width,best.dust.alpha,best.dust.gamma,best.dust.qhac,best.dust.umin,best.nebular.f_dust,best.nebular.f_esc,best.nebular.lines_width,best.nebular.logU,best.nebular.ne,best.nebular.zgas,best.sfh.age,best.sfh.age_burst,best.sfh.age_main,best.sfh.f_burst,best.sfh.tau_burst,best.sfh.tau_main,best.stellar.age_m_star,best.stellar.imf,best.stellar.metallicity,best.stellar.old_young_separation_age,best.universe.age,best.universe.luminosity_distance,best.universe.redshift,best.agn.accretion_power,best.agn.disk_luminosity,best.agn.intrin_Lnu_2500A_30deg,best.agn.luminosity,best.agn.polar_dust_luminosity,best.agn.torus_dust_luminosity,best.agn.total_dust_luminosity,best.dust.luminosity,best.dust.mass,best.sfh.integrated,best.sfh.sfr,best.sfh.sfr100Myrs,best.sfh.sfr10Myrs,best.stellar.lum,best.stellar.lum_ly,best.stellar.lum_ly_old,best.stellar.lum_ly_young,best.stellar.lum_old,best.stellar.lum_young,best.stellar.m_gas,best.stellar.m_gas_old,best.stellar.m_gas_young,best.stellar.m_star,best.stellar.m_star_old,best.stellar.m_star_young,best.stellar.n_ly,best.stellar.n_ly_old,best.stellar.n_ly_young,best.galex.FUV,best.galex.NUV,best.sdss.up,best.sdss.gp,best.sdss.rp,best.sdss.ip,best.sdss.zp,best.vista.vircam.Z,best.vista.vircam.Y,best.vista.vircam.J,best.vista.vircam.H,best.vista.vircam.Ks,best.WISE1,best.WISE2,best.WISE3,best.WISE4,best.herschel.pacs.100,best.herschel.pacs.160,best.PSW_ext,best.PMW_ext,best.PLW_ext,CIGALE_AGN
1034794413781444608,492762,UNCXY,sAGN,0.3791111144274215,0.0606441034705791,5517.105313358927,3737.195395614661,5517.105313358927,3737.195395614661,3513.891316339134,2115.7932398730763,3.6987966992851214e+37,2.07369614783102e+37,0.8356409585491541,0.7756632180294162,0.9237825126895436,0.8458163445044689,41801473293.25128,17030309666.332512,53034092457.95082,16815652050.553062,32.213736263804655,1.6106868131902328,0.03,-0.5,0.36,1.0,1.6,0.3,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.6292499958603497,0.25,0.6,0.15,1.6755638810091986,0.4771312182885711,-0.25,0.0,217.5,35.0,3.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,3500.0,250.0,3500.0,0.01,100.0,500.0,2473.623900804368,1.0,0.02,10.0,12538.46136917422,1.314269688973213e+25,0.0933,2.6369971143373406e+37,2.227739283865685e+37,4.598287618338431e+21,2.772025596192296e+37,2.038536095085222e+36,3.404327028180888e+36,5.44286312326611e+36,1.270001395428759e+37,2.9345546072110744e+37,90726144459.94817,1.972468277302173,2.6549875204025497,2.019323819569177,4.1394336316458375e+37,1.0208397207836976e+36,6.422067266137138e+34,9.56619048122326e+35,3.643113492218972e+37,4.963201394268657e+36,39408463884.47044,39407253322.76165,1210561.7087981035,51317680569.44253,51298697898.990685,18982670.451839965,3.038356568785173e+53,1.4171107381157264e+52,2.8966454949736008e+53,0.1247094853414151,0.2059648517431808,0.3924748404925416,0.8627377250718566,1.5476451675507927,2.092136346554351,2.696783253765976,2.613985592446296,3.310735194377645,3.994346203359671,5.023244472301245,5.510468376690413,4.929446344538525,4.781007506191167,8.178495072384518,8.627767830180082,141.34459988264663,122.80529792544333,57.82838835491432,25.24261050194959,9.192316579163602,True
318692373649451008,559141,AGNXY,sAGN,0.361932245638,0.0761308837819035,5793.196342236594,2631.4109976109075,5793.196342236594,2631.4109976109075,2717.9160980876545,2039.7289835623048,8.262735410182369e+37,4.206021847057798e+37,9.81737343744746,2.3707050094461377,9.93164622146323,2.3349719080760782,24497412361.714226,19587764057.32981,32117063619.3694,19777054421.25278,57.75045415022496,2.887522707511248,0.03,-0.5,0.36,1.0,1.6,0.4,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.5374147594960234,0.25,0.4,0.1,1.0605416089950286,0.4197739720460546,0.0,0.0,217.5,35.0,2.0,0.1,0.06,2.5,0.0,0.0,300.0,-3.0,100.0,0.019,11000.0,250.0,11000.0,0.01,800.0,1.0,10843.55694876986,1.0,0.02,10.0,11631.776134971196,2.5458002736941126e+25,0.1716,7.133871078082874e+37,6.026705437132083e+37,1.2439752349677649e+22,7.499163772635014e+37,5.514853850725936e+36,9.20972950430337e+36,1.4724583355029307e+37,2.208687503254396e+37,9.281952427221492e+37,229545771200.47467,7.8266610171494335,8.331653003388423,7.870860768010881,5.816869678233678e+37,3.891243315732876e+36,1.1805591438459429e+35,3.773187401348282e+36,3.8713328469472595e+37,1.9455368312864176e+37,111906781697.66998,111902102973.79892,4678723.871056945,117638989479.24356,117564959618.99562,74029860.24791561,1.1712431037086802e+54,2.843792520731124e+52,1.1428051785013687e+54,0.1191098847807236,0.1742887667909113,0.2536782584589498,0.373753441817738,0.5702249211871313,0.7539897241005393,0.9292725343077656,0.9025512076218392,1.1179328446415076,1.4831107695788692,1.8955577113170103,2.438046233299228,2.646331436822229,3.088191398132324,6.812894045813694,9.653815335775526,40.253722600095095,47.15229934270948,30.751763686401905,15.972522641257967,6.483589274688387,True
318699525491419136,30518,UNCXY,sAGN,0.108132025546778,0.0273578360136475,4136.09385231243,1416.201973459628,4136.09385231243,1416.201973459628,1638.5889617782195,787.9603451900687,8.565843082645797e+37,6.578944967401152e+36,14.10758830242204,1.2705004719629815,14.278547806524552,1.2429329559171856,17248803062.38005,4176729488.829845,25801926976.67201,4823083311.949277,49.28358234583482,2.593872755043938,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.540641057763134,0.25,0.4,0.1,1.060229628737975,0.4251301140659231,0.0,0.0,217.5,35.0,3.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,250.0,5000.0,0.01,800.0,5000.0,1847.7041254900464,1.0,0.02,10.0,11086.191414692568,3.413120938130974e+25,0.223,2.052905311151933e+37,1.7342976155887515e+37,3.579772242664478e+21,2.1580251408436998e+37,1.587002713739039e+36,2.6502725388104373e+36,4.237275252549476e+36,3.813547727294527e+37,8.811851776881958e+37,47338485346.47548,14.665107463223965,14.768358502469242,14.67421283675798,8.491409655319952e+37,7.111028961137285e+36,5.302331779454412e+34,7.058005643342741e+36,4.858455996902537e+37,3.632953658417415e+37,19250860601.989414,19242158519.88996,8702082.099455899,28087624700.541336,27949584698.217957,138040002.32338583,2.1528245655660743e+54,1.4979478604768038e+52,2.1378450869613067e+54,0.0640987536756433,0.0866824798596442,0.108953205179842,0.1714256443704644,0.2707440732542849,0.3377978314741198,0.3822170832967814,0.3745176615479225,0.4294532021964583,0.5422409183277399,0.6315821883770953,0.7708963478312915,0.6530630925867382,0.7073900645849672,1.8809754185453544,1.9289317379409137,61.13886695809119,65.8752742883246,35.33906469717316,16.659504481274823,6.243462744285631,True
320958471644145664,692601,AGNXY,sAGN,0.2873549196245205,0.0349397226689964,939.755219942078,316.17223397007234,939.755219942078,316.17223397007234,322.9642603249095,155.225077265669,1.0400089648502662e+38,1.096744879492955e+37,39.64581486185919,4.291482059018834,38.56189651046123,4.191863996985268,6949452109.310845,1776762241.801524,15007060068.939444,3113270157.973559,155.12038960486728,8.16423103183512,0.03,-0.5,0.36,1.0,1.6,0.3,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.5527283368987091,0.25,0.4,0.1,1.0592190418272502,0.4360419731239404,0.0,0.0,217.5,35.0,2.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,901.0,250.0,901.0,0.25,100.0,5000.0,262.7933972540493,1.0,0.02,10.0,10718.641146448228,4.059232505754377e+25,0.2597,1.8546026897546405e+38,1.5667712510817868e+38,3.233980249302982e+22,1.949568355162514e+38,1.4337044604832771e+37,2.394266580323991e+37,3.827971040807268e+37,8.931932428550292e+37,9.950713246207174e+37,20463622685.81153,36.65509624099083,38.45099820386813,36.737091239416856,1.7580928924970134e+38,1.7714110564111655e+37,6.371215864717191e+34,1.7650398405464485e+37,8.490631583535113e+37,9.09029734143502e+37,6293256693.650091,6271453376.489448,21803317.16064438,14170365882.16561,13824798396.92792,345567485.23768944,5.369166906452939e+54,2.3038967655255926e+52,5.3461279387976834e+54,0.1580515006257092,0.2377755892868211,0.323000985020606,0.4360294220524761,0.5931571449123827,0.67299788094796,0.7848693414978163,0.7713222601172456,0.8483185726158489,1.044544427727121,1.3322872167257664,1.773145360984487,2.41901169193468,3.146979688009479,8.800667218102433,12.561020389473256,66.7908092002506,63.55790483472302,33.30022577078988,15.725110489681724,5.887371162351759,True
320971116027865088,22727,SFGXY,sAGN,0.273397886043445,0.0570926376201679,3400.9715287821477,1554.9803701723872,3400.9715287821477,1554.9803701723872,1311.365756115918,789.6369318810906,1.0937679668912514e+38,5.760883031500553e+37,9.162278039635588,1.4834911371201012,9.157595518785,1.4108767334428185,8258327731.174542,3394897180.979748,12881003066.75166,4385288732.054562,33.603458239612,1.7686030652427367,0.03,-0.5,0.36,1.0,1.6,0.2,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.540641057763134,0.25,0.4,0.1,1.060229628737975,0.4251301140659231,0.0,0.0,217.5,35.0,2.0,0.1,0.06,2.5,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,250.0,5000.0,0.01,800.0,5000.0,1847.7041254900464,1.0,0.02,10.0,11358.58564602349,2.9670994088422125e+25,0.1969,3.2620158613402827e+37,2.7557560982492147e+37,5.688169723232297e+21,3.4290486757293305e+37,2.5217081353362463e+36,4.211217639464913e+36,6.73292577480116e+36,2.693170309920464e+37,1.1317978961828654e+38,33430970940.589043,10.356663882575155,10.429580928131864,10.363094199806282,5.996729032496899e+37,5.021888656079856e+36,3.7445663573496654e+34,4.984442992506359e+36,3.431096285818791e+37,2.565632746678108e+37,13595174341.8921,13589028833.609352,6145508.282748431,19835796567.66268,19738311164.98164,97485402.68104596,1.5203489288865506e+54,1.0578676319614446e+52,1.5097702525669364e+54,0.0729212394359062,0.1007268145983435,0.1350555856933064,0.209293779634165,0.3104371063918186,0.386083496361307,0.4389958230778334,0.4316900942449847,0.4981750680174061,0.6201605535463531,0.756493678997245,0.9518323616694322,0.9948583250316952,1.1759077668290718,3.606745323882782,6.360271842234467,32.16312268970517,41.45087026633868,28.36973666093102,15.095925783243844,6.195611193614902,True
321040660138321920,23104,AGNXY,sAGN,0.2296065313441858,0.0849592243679116,4311.994943303388,2883.619570138653,4311.994943303388,2883.619570138653,2787.7802484690083,1455.9417019815878,8.790256708157222e+36,2.470774526733828e+36,0.5333810947087205,0.3556704579769564,0.606275505608489,0.4067836023533367,25375047620.964542,6218926371.684053,33167160618.23292,6357919812.383768,43.022012157182445,2.264316429325392,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.4184072170226274,0.25,0.4,0.1,1.124272509587633,0.3176303670108751,-0.25,0.0,217.5,35.0,2.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,3500.0,250.0,3500.0,0.01,50.0,500.0,2474.5481340476376,1.0,0.02,10.0,12727.157465904858,1.086954725367358e+25,0.078,3.1416310917516903e+36,2.6540548567372303e+36,5.478247690164446e+20,3.3024995563249475e+36,2.4286444392212307e+35,4.055802556655935e+35,6.484446995877166e+35,5.836002296289446e+36,6.501659726954337e+36,65399983913.86009,0.9237015725735498,1.1923757230192038,0.9387717737198632,2.774333277273203e+37,4.925326414291449e+35,4.566723326300087e+34,4.46865408166144e+35,2.543071414808552e+37,2.312618624646512e+36,28416365493.10832,28415804611.5119,560881.5964167599,36983618417.944405,36974791584.6109,8826833.333501715,1.452578643305243e+53,9.932982979400423e+51,1.3532488135112388e+53,0.0555040788365027,0.08630389339073,0.2231080155834779,0.7369645121036806,1.4204173438586445,1.927929118800078,2.464440172752231,2.375179318015727,3.0279732419565084,3.504406966698162,4.214949880364423,4.111306380732221,2.676102009964722,2.046094900296863,4.433408633935422,9.751429279531516,51.28135293669072,40.50697477284989,18.31226001667934,7.861053073856789,2.8437768163349264,True
323152548657653760,55958,AGNXY,sAGN,0.0995644437887226,0.0068707649982065,10486.054301043074,2181.4807779836515,10486.054301043074,2181.4807779836515,3689.850876328316,700.2712609208616,3.913498270093003e+38,2.950197340352337e+37,8.481442315986436,1.3378183730765587,8.633420505911868,1.236886242062672,65104889362.598,8446986662.7201185,85972147127.44821,8563156060.521439,8.10450060102856,0.405225030051428,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,20.1,60.0,1.0,100.0,0.6411422543525386,0.25,0.6,0.15,1.688928945998586,0.4836972793599572,-0.25,1.0,217.5,35.0,2.0,0.1,0.06,1.0,0.0,0.0,300.0,-3.0,100.0,0.019,11000.0,750.0,11000.0,0.25,50.0,5000.0,3800.4702850116255,1.0,0.02,10.0,11791.431983537534,2.3109880689656133e+25,0.1572,2.7451787228988496e+37,5.620905242987954e+36,4.786930278762932e+21,9.965717034373574e+36,2.1221661122278216e+36,2.2226456791578e+36,4.344811791385621e+36,3.9103306122470577e+37,3.955435828755707e+38,155838508375.07443,8.83013633117222,8.878386443793268,8.83449424296664,9.98252007969901e+37,4.347786526795094e+36,9.821042271941212e+34,4.2495761040756817e+36,7.795240440129508e+37,2.187279639569501e+37,67389525137.89895,67384286438.106575,5238699.792376926,88448983210.71892,88365876994.5385,83106216.18041997,1.3100886785061404e+54,2.290474270506312e+52,1.2871839358010772e+54,0.0367429346583145,0.0606026111837073,0.1275392356655137,0.401958074872713,0.7941457355577152,1.0647492577502446,1.3176500642580893,1.2866471653964722,1.5622411028787249,1.9065501545721817,2.231695013961849,2.560925143726742,1.950292263819536,2.006170248548954,6.382208285693455,13.63744554445667,65.71321424118746,103.24384819772044,86.18048659364047,50.32803791511707,22.211054974656054,True
323243533244852224,751044,AGNXY,sAGN,0.2365523833414534,0.0484208414559258,1291.4692726695112,1038.0952210929672,1291.4692726695112,1038.0952210929672,503.6757577240924,580.5597535314921,1.3210452412338383e+38,1.7536463437319216e+37,25.28720520559889,4.639202802732336,22.76499219033124,4.595494643104748,4696221646.033622,2240366598.728871,9442162784.869991,2857223742.693959,34.77969106990859,2.045864180582858,0.03,-0.5,0.36,1.0,1.6,0.2,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.559882303778831,0.25,0.4,0.1,1.0599630386723973,0.4405036727577663,0.0,0.0,217.5,35.0,3.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,250.0,5000.0,0.25,800.0,1.0,3479.478164129549,1.0,0.02,10.0,10397.213250891846,4.669484931482184e+25,0.2933,7.641892127797498e+37,6.455882413976956e+37,1.3325618659525728e+22,8.033198241446825e+37,5.907580578137085e+36,9.865577696561606e+36,1.577315827469869e+37,6.309263309879476e+37,1.4578627850927593e+38,31238208587.649025,26.62768171679889,28.345753554794936,26.778057067835764,1.2252847760807042e+38,1.288632607717325e+37,4.927679641489329e+34,1.2837049280758355e+37,5.633788190156024e+37,6.6190595706510185e+37,13017037370.911428,13001119526.787825,15917844.12360667,18221171136.578457,17969308490.18285,251862646.39560825,3.9055856627737184e+54,1.7560808909909106e+52,3.8880248538638085e+54,0.0714601028939753,0.1032092782207106,0.1312586635983844,0.1675937990449823,0.2304325241315803,0.2561379599481928,0.313924982354063,0.3145032470472275,0.3267149470010577,0.4061273951939965,0.5030477130555892,0.6552813003048105,0.8146797290121095,1.0452711964224377,2.570720002807852,2.495094089998677,54.61593892991206,64.26391382018642,36.84924163899198,18.06840932483473,6.873612645733373,True
345696929033775104,594304,UNCXY,sAGN,0.3635725187337267,0.067606906252031,4701.883298533622,3394.234789811874,4701.883298533622,3394.234789811874,3105.924281668843,1898.7915113245704,6.886509555425027e+37,2.8490147123191483e+37,0.5371804161814766,0.4073504656991593,0.5905353756281109,0.4381574406581725,24468692978.431103,9959740725.663612,31283944834.35244,9823997188.025246,8.50344453693562,0.4251722268467809,0.03,-0.5,0.36,1.0,1.6,0.3,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.5087108112600148,0.25,0.4,0.1,1.0572316106029545,0.4082377379605839,0.0,1.0,217.5,35.0,3.0,0.1,0.06,2.5,0.0,0.0,300.0,-3.0,100.0,0.019,11000.0,750.0,11000.0,0.25,100.0,2000.0,5310.019803400386,1.0,0.02,10.0,12408.82074606768,1.4758932883329386e+25,0.104,1.251026800127217e+37,1.056869396124664e+37,2.1814893213033025e+21,1.3150861230072466e+37,9.671088656534847e+35,1.615058403172341e+36,2.5821672688258252e+36,6.025056960593593e+36,5.595257427342911e+37,62129400388.08982,0.6245864426206496,0.6969349824547624,0.6295918522655771,2.4183866305370195e+37,3.3403600015619246e+35,3.269596238328849e+34,3.0134003777290392e+35,2.2628816079547263e+37,1.555050225822932e+36,27745405341.20694,27745030659.221603,374681.9853341576,34383995044.99878,34378073810.34565,5921234.653123963,9.833926759131815e+52,7.073738402117959e+51,9.126552918920021e+52,0.0492445077329279,0.0851060862716515,0.182162742055994,0.4863284751305394,0.8105214026833099,1.0272583445520571,1.2643877395810013,1.2364724332113368,1.5036233502190708,1.762686519065246,2.1473073606987745,2.3704763383830474,1.9988902990139723,1.913381238914926,3.1260828037896555,3.1561177195554717,48.83369532624778,66.90428925950395,43.8797380286112,22.23660482327402,8.942838207536962,True
346920960336619520,107713,AGNXY,sAGN,0.2604103366667877,0.0560225859916793,3740.549535656019,1433.9183987978918,3740.549535656019,1433.9183987978918,1760.6520594397948,585.1585446139017,4.793846646279854e+38,1.608601356766929e+38,10.59886378719615,2.419814133575699,11.026627039970162,2.2497123922027966,27319306921.085777,6625695196.924912,39375513305.482056,7496923879.67754,19.08022363716004,1.0600124242866689,0.03,-0.5,0.36,1.0,1.6,0.3,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.4373155462241442,0.25,0.4,0.1,1.1292181361720923,0.3271340393911901,-0.25,0.0,217.5,35.0,3.0,0.1,0.06,1.0,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,900.0,5000.0,0.25,500.0,500.0,3020.3060803590124,1.0,0.02,10.0,10368.256512643808,4.726664263390935e+25,0.2964,5.436291446793402e+37,4.592587511271512e+37,9.479582481739254e+21,5.714658903849213e+37,4.202536391654818e+36,7.018177534122187e+36,1.1220713925777006e+37,2.618166582681301e+37,6.04837725597795e+38,86475233897.08035,8.630095461696005,9.54341613028845,8.708206764167578,7.179929478284288e+37,4.223552323443972e+36,5.82846491264836e+34,4.165267674317488e+36,5.029712644576526e+37,2.1502168337077608e+37,37238016560.05319,37232831777.48679,5184782.566385448,49237217310.96706,49155320051.952126,81897259.01493666,1.2760712812478084e+54,1.4574187914081328e+52,1.2614970933337271e+54,0.0275159356175859,0.0470652945825015,0.070720809707703,0.1108938280126315,0.2000461069565403,0.249635327179875,0.3058584354495602,0.3013081722221251,0.3437526772208034,0.4352579776916754,0.5297646034689841,0.676050827889974,0.6912007112236591,0.7815091039340315,1.5307283579472803,1.3307291324587325,13.148026386149512,33.26930142959655,36.45595151909525,24.57124134015709,11.622336242601223,True
372819143939876864,185507,UNCXY,UNC,0.1000168607581966,0.0012996450069977,1432.3418470279298,1789.0765985925302,1432.3418470279298,1789.0765985925302,586.550992401963,1169.1970442989114,1.096628332613941e+39,5.483141663069706e+37,175.0692781749593,19.51063262735168,90.50748764195926,13.858344782660042,18443776777.48359,10078047884.927156,37069595645.997215,11248259134.451357,129.48989125243807,6.474494562621904,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,20.1,60.0,1.0,100.0,1.5397491361694158,0.75,0.4,0.3,3.076177425074617,1.2284081781851268,0.0,0.0,217.5,35.0,3.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,901.0,5.0,901.0,0.01,5.0,5000.0,290.2468410120057,1.0,0.02,10.0,11867.901583822497,2.201381650843276e+25,0.1504,3.3474832413794104e+38,6.85415705190031e+37,5.837204241802298e+22,1.2152240028171039e+38,2.5877788709524705e+37,2.7103041053182607e+37,5.298082976270731e+37,4.7682746786436546e+38,1.1017911064528883e+39,46105116548.84691,154.74510074697818,95.585051990314,141.0517631837337,5.883027897025294e+38,8.308365671484965e+37,1.5449104386718134e+35,8.292916567098246e+37,1.908185625603296e+38,3.974842271422e+38,14203327159.87726,14136014157.196829,67313002.68042918,31901788854.275604,30558584759.812737,1343204094.4628675,2.4989118062698033e+55,5.719698399717889e+52,2.493192107870085e+55,0.1686273106558388,0.2695189209588589,0.4284581714945054,0.7622180403690628,1.0779399292203318,1.7238648251563815,1.5537141566879655,1.5300242982898364,1.862774740436316,2.4708975787221763,3.351399250358333,5.606812384804866,10.82118992590268,14.488378334641968,52.634272214778136,64.55372758343593,1853.7313224126804,1782.0133834591682,890.4006317841402,401.999591944534,148.37271836244943,True
