SPECID,CATAID,HB_CONT,HB_CONT_ERR,HB_GRAD,HB_GRAD_ERR,HB_REDCHI_EMB,HB_REDCHI_EMABS,HB_FITFAIL,HB_NPEG,HB_MODSEL_EM_LINE,HB_MODSEL_EMB_EM,HB_MODSEL_NABS_N,HB_BF,HB_DELBIC,HB_DELAIC,HB_CEN,AMP_HB,AMP_HB_ERR,POS_HB,POS_HB_ERR,SIG_HB,SIG_HB_ERR,HB_FLUX,HB_FLUX_ERR,HB_EW,HB_EW_ERR,AMP_HB_ABS,AMP_HB_ABS_ERR,POS_HB_ABS,POS_HB_ABS_ERR,SIG_HB_ABS,SIG_HB_ABS_ERR,HB_ABS_FLUX,HB_ABS_FLUX_ERR,HB_ABS_EW,HB_ABS_EW_ERR,HB_ABS_NPEG,AMP_HB_B,AMP_HB_B_ERR,POS_HB_B,POS_HB_B_ERR,SIG_HB_B,SIG_HB_B_ERR,HB_B_FLUX,HB_B_FLUX_ERR,HB_B_EW,HB_B_EW_ERR,HB_B_NPEG,AMP_OIIIB,AMP_OIIIB_ERR,POS_OIIIB,POS_OIIIB_ERR,SIG_OIIIB,SIG_OIIIB_ERR,OIIIB_FLUX,OIIIB_FLUX_ERR,OIIIB_EW,OIIIB_EW_ERR,AMP_OIIIR,AMP_OIIIR_ERR,POS_OIIIR,POS_OIIIR_ERR,SIG_OIIIR,SIG_OIIIR_ERR,OIIIR_FLUX,OIIIR_FLUX_ERR,OIIIR_EW,OIIIR_EW_ERR,OIIIR_NPEG,OIIIB_NPEG,HA_CONT,HA_CONT_ERR,HA_GRAD,HA_GRAD_ERR,HA_REDCHI_EMB,HA_REDCHI_EMABS,HA_FITFAIL,HA_NPEG,HA_MODSEL_EM_LINE,HA_MODSEL_EMB_EM,HA_MODSEL_NABS_N,HA_BF,HA_DELBIC,HA_DELAIC,HA_CEN,AMP_HA,AMP_HA_ERR,POS_HA,POS_HA_ERR,SIG_HA,SIG_HA_ERR,HA_FLUX,HA_FLUX_ERR,HA_EW,HA_EW_ERR,AMP_HA_ABS,AMP_HA_ABS_ERR,POS_HA_ABS,POS_HA_ABS_ERR,SIG_HA_ABS,SIG_HA_ABS_ERR,HA_ABS_FLUX,HA_ABS_FLUX_ERR,HA_ABS_EW,HA_ABS_EW_ERR,HA_ABS_NPEG,AMP_HA_B,AMP_HA_B_ERR,POS_HA_B,POS_HA_B_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,HA_B_EW,HA_B_EW_ERR,HA_B_NPEG,AMP_NIIB,AMP_NIIB_ERR,POS_NIIB,POS_NIIB_ERR,SIG_NIIB,SIG_NIIB_ERR,NIIB_FLUX,NIIB_FLUX_ERR,NIIB_EW,NIIB_EW_ERR,AMP_NIIR,AMP_NIIR_ERR,POS_NIIR,POS_NIIR_ERR,SIG_NIIR,SIG_NIIR_ERR,NIIR_FLUX,NIIR_FLUX_ERR,NIIR_EW,NIIR_EW_ERR,NIIB_NPEG,NIIR_NPEG,RA,DEC,Z,URL,URL_IMG,CATAID_1,DIST,IS_SBEST,IS_BEST,HB_rest,HA_rest
1031470589610584064,463453,18.489233,0.096835725,-0.00021289167,2.8688615e-05,0.9790536,1.631088,0.0,0,201,201,0,220.90883,226.99762,232.93195,5650.909921816167,6.4406857,1.2420574,-111.01471,0.42474356,2.1552784,0.44990358,34.79569,9.888581,1.6493491,0.46880773,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,4.878061,0.2830923,-112.921036,2.4696255,40.103405,2.747301,490.36377,44.02613,23.243204,2.0903776,0,25.109032,1.1955516,0.31079742,0.00023867034,1.9098786,0.040008627,120.20587,6.252971,5.7051773,0.29827723,73.69603,1.8325188,54.941437,0.042191118,1.9227806,0.040278904,355.19247,11.548635,16.868658,0.55554396,0,0,16.479242,0.15740296,1.4928979e-05,4.3978693e-05,1.3984905,5.9675612,0.0,0,201,201,0,866.1493,876.9292,880.701,7478.737917396927,23.286165,0.9936201,0.2731905,0.14193276,3.2299314,0.1491051,188.53032,11.851646,10.03933,0.6383493,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,11.317834,0.301404,-3.697599,1.0735512,50.51972,1.4670792,1433.2244,56.471775,76.32015,3.0942566,0,5.8822017,0.70332724,-16.024231,0.12453609,3.5388694,0.21129167,52.178837,6.973537,2.7785892,0.3722969,14.543423,0.78410566,24.293472,0.18880247,3.5464969,0.21174707,129.28738,10.400693,6.884465,0.55771995,0,0,213.16155,-1.34276,0.13955,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0532.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0532.png,463453,0.02,True,True,4958.8959868510965,6562.887032071367
1034794413781444608,492762,129.32132,0.24548252,-2.5532812e-05,1.0454226e-05,3.6026523,13.589684,0.0,1,201,201,0,4999.89,5007.5664,5013.51,5421.166516362106,46.612312,2.6644673,-105.804405,0.42093098,8.935291,-0.0,1043.9971,59.677284,7.3842525,0.4223336,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,81.08341,1.6670389,-100.621445,0.36974016,28.946468,0.45359343,5883.253,152.08485,41.612637,1.0786024,0,24.750723,1.4846413,-1.4931797,0.0042551216,5.142958,0.14753848,319.07358,21.215445,2.2568727,0.15012233,71.88626,2.0331075,50.916397,0.1450967,5.169021,0.14828616,931.417,37.521873,6.588171,0.2656971,0,0,130.45782,0.30840248,-1.357027e-05,1.5580583e-05,1.5413079,18.211254,0.0,0,201,201,0,3222.8865,3240.1548,3243.9448,7174.682333178914,201.4203,6.147946,-0.6706157,0.18954165,7.1757445,0.18229313,3622.9316,143.87276,25.4025,1.0105621,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,188.14143,4.998499,3.3288248,0.21802892,31.89552,0.3822814,15041.947,438.41458,105.467964,3.0840778,0,72.143715,4.3353305,-18.805902,0.152509,6.159242,0.18312883,1113.8218,74.67741,7.8096437,0.5239315,178.0867,4.837283,19.872644,0.16115989,6.174844,0.1835927,2756.4329,111.00644,19.32701,0.7796728,0,0,218.31299,-1.35545,0.09326,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0336.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0336.png,492762,0.03,True,True,4958.716605713286,6562.6496287972805
1034872204229109760,493251,34.4952,0.13399747,5.436148e-05,2.3090943e-05,1.3179333,1.4102334,0.0,0,201,201,0,23.47018,27.079935,33.023167,5644.06082778892,26.644093,1.6135012,-110.99498,0.18883179,2.975646,0.22010976,198.73398,18.998428,5.062639,0.4843742,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,4.256777,0.86507225,-117.03076,2.7353184,16.206886,2.8305073,172.93001,46.337955,4.4053392,1.1805693,0,32.780174,1.3169531,-0.8398764,0.0008980509,2.901408,0.056291364,238.40205,10.636228,6.0721073,0.27192995,101.51093,2.1642532,53.724545,0.057445806,2.917825,0.056609876,742.44104,21.402058,18.90837,0.5499904,0,0,38.198658,0.1389736,0.00010227543,3.0264026e-05,1.4530264,3.405288,0.0,0,201,201,1,358.6102,370.37546,374.16544,7469.673433993352,113.11783,2.3909092,0.8378372,0.07189116,3.7905443,0.09498751,1074.7875,35.23445,24.720715,0.8153875,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,39.814564,1.5905458,2.2430139,0.45010373,18.978285,0.38923484,1894.0388,85.05371,43.563793,1.9626856,0,30.421938,1.6902704,-16.17125,0.04179057,3.6812353,0.07244622,280.71808,16.546448,6.456968,0.38131928,103.43818,1.9480757,24.097588,0.062274218,3.6893253,0.07260543,956.5722,26.056507,22.000328,0.60459805,0,0,220.13042,-1.29692,0.13821,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0619.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0619.png,493251,0.07,True,True,4958.716605713286,6562.6496287972805
317525791778826240,53744,45.067585,0.15192223,-0.00021661623,1.8208284e-05,1.4498295,5.4260488,0.0,0,201,201,0,1726.3191,1737.3945,1743.3378,5627.2259132021845,22.474886,1.6192997,-109.03079,0.2872899,3.760481,0.32077363,211.85117,23.654774,4.140225,0.46249762,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,26.428484,0.6177588,-106.2035,0.71592295,34.747116,0.8940492,2301.8708,80.01841,44.986263,1.5711569,0,58.716667,1.652754,2.0197837,0.0013189844,2.4601033,0.03517822,362.0801,11.431544,7.0799384,0.2247974,164.15663,2.8610172,56.42145,0.036845043,2.47481,0.035388518,1018.33386,22.957294,19.917213,0.4540081,0,0,36.947292,0.22188936,3.9517392e-05,2.9912957e-05,1.7914364,19.669172,0.0,0,201,201,0,30554.686,30560.951,30564.742,7447.393143598016,88.807945,2.1470814,0.9446094,0.16287127,6.011727,0.13610794,1338.2615,44.326565,31.918526,1.0744586,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,55.87772,2.2621343,2.8501344,0.41682166,41.7911,0.8522567,5853.4565,265.33734,139.60898,6.3837767,0,33.091724,1.9959586,-17.571823,0.32981244,10.426117,0.49431977,864.8323,66.349495,20.627296,1.5873572,23.83045,2.00346,22.5769,0.42375475,10.453599,0.49562275,624.4361,60.269806,14.892917,1.4402258,0,0,174.79024,-0.26907,0.13486,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51658-0080.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51658-0080.png,53744,0.06,True,True,4958.519917172325,6562.389319914365
318699525491419136,30518,25.317469,0.14737384,-0.00011237083,2.7060392e-05,1.2369167,2.9156437,0.0,1,201,201,0,814.561,815.3079,821.3647,6064.670703495271,6.094204,0.9000418,-117.562996,1.4204774,9.99593,-0.0,152.69687,22.55152,4.92896,0.7285139,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,12.386829,0.50637746,-111.77481,1.5505564,47.558193,2.1484272,1476.6427,89.965645,47.666332,2.9173272,0,3.383309,0.44843647,-2.5211885,0.05649761,16.312588,0.0,138.34213,18.336386,4.467878,0.59276015,6.607587,0.3933483,56.10952,1.2573649,16.391748,-0.0,271.49268,16.161903,8.770371,0.52459,1,1,24.14619,0.19046748,0.00016893675,4.0026305e-05,1.2687134,7.4352074,0.0,0,201,201,0,1185.615,1191.9818,1195.7719,8026.33263921843,16.325447,1.8602293,-0.9159784,0.8374168,8.081858,0.93969476,330.7244,53.841114,11.199339,1.8253638,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,36.50926,1.3115054,1.2547443,0.59168446,42.486797,0.9722226,3888.185,165.60464,131.66383,5.7031555,0,4.2085376,1.4857225,-21.866375,0.6911591,6.2495093,0.7680577,65.92757,24.644161,2.2328362,0.8348349,16.054344,1.4721421,21.4034,0.6765253,6.2651176,0.76997596,252.12257,38.65998,8.536308,1.3106711,0,0,175.70065,-1.18236,0.22295,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51959-0254.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51959-0254.png,30518,0.06,True,True,4959.050413749761,6563.0914094758
319914760449583104,7618,12.377717,0.05832657,-0.0002109685,1.6219257e-05,1.3582518,1.9760586,0.0,0,201,201,0,237.55315,247.53209,253.58023,6093.143475682382,13.610806,0.9096056,-120.05251,0.17319612,2.3795552,0.19217008,81.18384,8.510061,5.326956,0.5589582,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,3.9731128,0.2706195,-114.04392,1.9739823,30.47479,1.9860593,303.50198,28.61067,19.916613,1.8798462,0,6.623147,0.40968946,-1.840332,0.0044107856,4.982605,0.14240693,82.720055,5.6366167,5.4386916,0.37148225,19.54692,0.6063816,57.065636,0.13677113,5.008279,0.1431407,245.38995,10.3507395,16.150154,0.68547314,0,0,10.542344,0.08093967,0.0001509596,5.25618e-05,1.6228863,5.060211,0.0,0,201,201,0,647.8629,659.7938,663.5838,8064.015137066621,42.95454,1.3936006,-0.09352721,0.07959253,2.7636964,0.08482337,297.57016,13.289721,22.971565,1.0409776,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,15.737657,0.40399384,3.1364007,0.57923865,27.010128,0.5582137,1065.5078,35.114803,82.25036,2.7832162,0,6.943185,0.7688371,-18.156195,0.076138735,2.8134623,0.11349866,48.96545,5.7706842,3.7809708,0.44654077,26.13302,0.95445585,25.316725,0.10616671,2.818244,0.11369156,184.61124,10.046222,14.246277,0.7829318,0,0,178.61823,0.6877,0.22866,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0284-51943-0579.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0284-51943-0579.png,7618,0.1,True,True,4959.177865058178,6563.260085838735
320958471644145664,692601,48.612915,0.08149813,-0.0002645514,7.951007e-06,9.9056,38.614193,0.0,0,201,201,0,12326.916,12345.912,12351.96,6247.124017421664,32.389153,1.2980665,-120.95929,0.13019714,3.0800297,0.13556752,250.0601,14.885409,4.0804315,0.24299335,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,38.47029,0.32427096,-125.359695,0.32312608,42.920147,0.37726837,4138.821,50.404377,67.534836,0.83021593,0,107.94804,1.1478326,1.8065405,0.0005674585,3.5843782,0.017780503,969.8811,11.379973,15.836902,0.18770742,307.44153,2.5282702,62.201126,0.019538205,3.6040685,0.017878179,2777.4453,26.674232,45.366993,0.44229198,0,0,43.21821,0.18219,-1.387182e-05,1.5573492e-05,1.7046248,103.02705,0.0,0,201,201,0,65047.14,65060.387,65064.176,8267.801807174568,104.40013,2.3800533,2.7684333,0.1028183,4.732475,0.10924053,1238.4523,40.179237,22.746365,0.7441665,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,105.47062,0.82519203,-6.5731025,0.23544767,51.964375,0.29674968,13738.114,133.07181,252.32399,2.665525,0,22.353725,1.5798165,-16.942171,0.1474957,5.236344,0.27422705,293.40533,25.808594,5.3888736,0.47456148,33.40941,1.6286215,27.629354,0.24053653,5.248885,0.27488384,439.56772,31.449587,8.073503,0.57863367,0,0,179.49471,-0.37244,0.25969,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0285-51930-0280.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0285-51930-0280.png,692601,0.04,True,True,4959.255068645193,6563.362261488595
320971116027865088,22727,28.326956,0.0895348,-0.000245714,1.6282307e-05,1.4424404,1.9486188,0.0,0,201,201,0,286.4704,291.29446,297.3426,5935.781984212118,16.21881,2.0808418,-114.33537,0.5258647,7.20549,0.8550138,292.93576,51.193348,8.630646,1.5085348,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,18.619783,2.0884712,-115.6307,0.72703373,20.181038,1.1676825,941.907,118.876755,27.750706,3.503474,0,6.128294,0.5722837,-3.7414663,0.01870266,8.48412,0.26741472,130.32758,12.84505,3.8434713,0.37900618,20.281193,0.5863764,53.643196,0.26814902,8.52595,0.26873317,433.43723,18.538742,12.788798,0.5484886,0,0,24.795073,0.116296016,3.296373e-06,3.0493613e-05,1.8256913,3.0567148,0.0,0,201,201,0,359.04938,373.6104,377.4004,7855.753924398315,64.600555,1.621398,4.655193,0.19137852,10.183089,0.27873018,1648.9434,61.237106,55.55733,2.0796325,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,26.147432,1.2507025,-0.81315047,0.611836,30.557224,0.77291983,2002.7783,108.36795,67.47903,3.6649015,0,10.581725,1.595345,-14.3406315,0.10457085,3.7140324,0.24198295,98.51267,16.179739,3.3191648,0.5453625,24.918142,1.2808946,28.009554,0.20424365,3.7220337,0.24250427,232.48015,19.293592,7.832856,0.6510883,0,0,178.88958,1.12515,0.19691,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0285-51930-0326.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0285-51930-0326.png,22727,0.09,True,True,4959.255068645193,6563.362261488596
321040660138321920,23104,98.69025,0.31103796,-6.689847e-05,1.7554083e-05,1.7611713,3.3952038,0.0,3,201,201,0,782.0483,778.2811,784.3378,5345.829001246087,0.0,-0.0,-105.12119,-0.0,1.8106875,-0.0,0.0,-0.0,0.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,18.792048,0.5685781,-104.43955,1.7928729,56.27123,2.420459,2650.6382,139.39589,24.91206,1.3124645,0,58.860893,2.081874,0.020308329,1.7966684e-05,2.693034,0.043299954,397.33664,15.437498,3.7346385,0.14557642,169.87973,3.116605,51.701553,0.04574012,2.708365,0.043546453,1153.2904,28.133955,10.840363,0.26664338,0,0,104.72156,0.43430817,-7.686486e-05,1.7333332e-05,1.6052508,25.434134,0.0,0,201,201,0,4627.992,4638.5044,4642.2944,7074.976349771632,25.500153,1.9850789,2.2326922,0.49744704,6.1684847,0.57295597,394.28586,47.78425,3.4925287,0.42351392,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,65.218254,0.8867848,-9.237804,0.5880887,53.802517,0.8082179,8795.523,178.21346,77.90885,1.6113043,0,14.124207,1.8931609,-15.931151,0.14807269,4.8363957,0.2351568,171.22841,24.41428,1.5166969,0.21634685,52.89505,2.0283477,22.209883,0.20643058,4.8481865,0.2357301,642.81244,39.805588,5.6940255,0.35338742,0,0,180.37656,1.19407,0.07795,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0285-51930-0579.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0285-51930-0579.png,23104,0.16,True,True,4959.255068645194,6563.362261488596
323178112302999552,561225,9.467571,0.060829844,-7.8588244e-05,3.36813e-05,1.569027,2.1041684,0.0,0,201,201,0,271.91946,276.52975,282.5779,6214.887584671353,3.4391603,0.7171048,-121.89725,0.5386204,2.355447,0.5738558,20.305595,6.5114913,1.709558,0.5483224,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,4.1094875,0.19694623,-120.77107,1.7878857,39.257244,2.1950865,404.3872,29.780369,34.046276,2.5168245,0,6.2887607,0.46996891,0.46869686,0.00077616493,3.2307918,0.09796505,50.92886,4.107358,4.2921314,0.34725255,19.65812,0.6002645,60.551632,0.100273885,3.2490127,0.09851755,160.09706,6.889458,13.499231,0.58736545,0,0,9.504539,0.09259135,9.824622e-05,5.900751e-05,1.4776113,2.775673,0.0,0,201,201,0,231.41878,241.35394,245.12572,8225.138265326095,10.072477,0.8362762,1.7741053,0.271106,3.178878,0.31529135,80.26018,10.3814,6.7376285,0.87395906,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,13.71897,0.38731447,0.8387301,0.71724665,32.77706,0.7947899,1127.1494,41.94799,94.62211,3.6401014,0,3.4177556,0.7080899,-16.995678,0.16923082,3.1368382,0.3097221,26.873428,6.1675816,2.2563906,0.5183191,8.886558,0.7297586,27.345852,0.27229047,3.1426804,0.31029895,70.004135,8.990176,5.8751082,0.7566691,0,0,183.42051,-0.58025,0.25336,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0287-52023-0163.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0287-52023-0163.png,561225,0.01,True,True,4958.581400931378,6562.4706910433515
323243533244852224,751044,10.446485,0.048277672,-0.00017546174,2.0027925e-05,1.8174736,7.6201596,0.0,0,201,201,0,2183.6584,2192.6204,2198.6687,6413.032497452571,4.3197894,0.6766846,-125.338646,0.3301715,2.10266,0.33441496,22.767824,5.082551,1.6817204,0.3754974,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,6.227825,0.12330617,-117.71726,-0.0,55.699673,1.3596759,869.5188,27.329723,64.23426,2.0406115,1,7.5352135,0.31440297,0.18067361,0.00020859962,3.7032475,0.0702147,69.94686,3.2056935,5.177441,0.23848759,23.968634,0.4561478,62.179195,0.07178999,3.7235591,0.07059982,223.71312,6.0098243,16.576426,0.45186794,0,0,9.506702,0.17344601,0.00013325269,6.209358e-05,1.6213193,9.784187,0.0,0,201,201,200,1653.0065,1660.5272,1664.3173,8487.374594140187,12.516869,0.7203735,0.825598,0.3124501,4.8633876,0.31530488,152.58945,13.228274,12.410959,1.0994983,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,17.337278,0.33680525,1.8796818,0.78686285,57.638447,1.2232409,2504.8582,72.068375,203.73122,6.9407616,0,4.5411735,0.6469884,-16.684767,0.3244119,4.597314,0.6615301,52.331375,10.596802,4.2574506,0.86560315,4.3109174,0.57261336,29.07047,0.56523454,4.6078134,0.6630409,49.791416,9.750629,4.048214,0.79619044,0,0,182.92743,1.06032,0.29332,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0287-52023-0401.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0287-52023-0401.png,751044,0.03,True,True,4958.581400931379,6562.470691043351
323304006384379904,586321,84.528915,0.15033028,-5.4558543e-05,1.2215169e-05,5.1956797,5.973963,0.0,0,201,201,0,402.65616,414.445,420.49316,5208.890590050395,163.82051,3.6571903,-102.225784,0.037125338,1.7121817,0.042198848,703.0853,23.380259,7.9178653,0.26367533,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,23.524473,1.5483747,-102.30128,0.4599815,10.428834,0.57661855,614.9582,52.86248,6.9254117,0.5954434,0,137.8357,2.1960146,-0.18419874,6.888774e-05,2.3985605,0.017526109,828.7094,14.52545,9.333208,0.16443048,419.2028,4.252183,50.17318,0.018764064,2.4126258,0.017628884,2535.1523,31.692627,28.552677,0.36053893,0,0,83.06835,0.14908892,8.130597e-05,1.5596806e-05,2.929544,30.384232,0.0,0,201,201,1,5326.7114,5345.85,5349.64,6893.74421152722,594.23126,6.589348,0.5043608,0.020890545,2.2591047,0.02087408,3364.9746,48.570007,38.563812,0.56091624,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,121.7128,1.3558329,3.1494718,0.16654725,17.142641,0.13783367,5230.0264,71.851295,59.93782,0.83043647,0,112.66429,2.7287374,-15.039096,0.015163269,2.4336188,0.022356369,687.2722,17.802914,7.8765054,0.20452003,411.56348,4.636972,22.124922,0.022307599,2.4378116,0.022394884,2514.9355,36.560135,28.821453,0.42216435,0,0,184.6113,-0.13056,0.05048,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0287-52023-0621.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0287-52023-0621.png,586321,0.16,True,True,4958.581400931379,6562.470691043351
324318855230941184,537289,20.289557,0.102128714,-0.00014464413,2.6785337e-05,1.2117143,1.9547498,0.0,0,201,201,0,262.09256,269.9533,276.00146,6235.165696781846,12.262585,1.1789907,-120.845116,0.36761114,3.5701494,0.41008264,109.73833,16.437958,4.2977686,0.6441358,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,9.789915,0.5020152,-121.85428,1.2636786,30.077848,1.5679035,738.1007,53.971584,28.90661,2.118715,0,20.64794,1.0135435,1.2269757,0.0019030717,3.6008897,0.07917911,186.3702,10.024274,7.305315,0.3946471,61.727688,1.5395544,61.505955,0.09539736,3.6206393,0.07961338,560.21564,18.627169,21.9687,0.7387914,0,0,19.561096,0.16646579,0.00016731328,5.155854e-05,1.3386958,2.9888763,0.0,0,201,201,0,301.8667,313.181,316.97098,8251.975480576773,44.419945,1.830434,2.1418722,0.16626671,4.389986,0.21139728,488.79987,30.979677,19.872894,1.2708284,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,27.490503,1.2386352,0.33607945,0.76426303,31.647163,0.8734291,2180.7578,115.22621,88.66336,4.7451406,0,15.253249,1.4944386,-15.688613,0.13578717,4.236752,0.3198138,161.98892,20.03509,6.5869083,0.8166077,24.74825,1.7702633,28.797596,0.2492473,4.2462296,0.32052922,263.41342,27.393398,10.707028,1.1171864,0,0,184.66239,-1.0262,0.2574,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0288-52000-0217.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0288-52000-0217.png,537289,0.04,True,True,4958.7765999537505,6562.729028612035
